name,size,percent_used,index_scans,seq_scans,unused
public.idx_breadcrumbs_session,672 kB,100%,20,0,f
public.idx_breadcrumbs_tenant_time,376 kB,100%,48,0,f
public.chef_breadcrumbs_pkey,248 kB,0%,0,0,t
public.idx_activity_type,184 kB,100%,447,0,f
public.idx_activity_client,168 kB,100%,279,0,f
public.audit_log_pkey,160 kB,0%,0,0,t
public.idx_audit_changed_at,128 kB,0%,0,0,t
public.idx_activity_tenant_recent,128 kB,100%,13710,0,f
public.activity_events_pkey,88 kB,100%,1,0,f
public.unique_gmail_sync,80 kB,100%,749,0,f
public.idx_audit_changed_by,64 kB,100%,66,0,f
public.idx_gmail_sync_log_tenant,64 kB,100%,1980,0,f
public.idx_audit_record,64 kB,0%,0,0,t
public.simulation_results_tenant_idx,56 kB,100%,17,0,f
public.idx_gmail_sync_log_received,48 kB,100%,2482,0,f
public.idx_audit_table,48 kB,0%,0,0,t
public.idx_chef_activity_entity,40 kB,100%,731,0,f
public.clients_tenant_id_email_key,40 kB,100%,52,0,f
public.simulation_results_pkey,40 kB,0%,0,0,t
public.gmail_sync_log_pkey,40 kB,0%,0,0,t
public.idx_comm_action_log_event,40 kB,100%,89,0,f
public.idx_audit_tenant,40 kB,100%,21,0,f
public.idx_events_active_tenant_created_at,40 kB,100%,17,0,f
public.idx_event_cannabis_settings_tenant_event,40 kB,100%,17,0,f
public.idx_quotes_active_tenant_created_at,32 kB,100%,408,0,f
public.idx_comm_action_log_tenant_time,32 kB,100%,32,0,f
public.idx_comm_events_sender,16 kB,100%,31,0,f
public.referral_partners_pkey,16 kB,100%,507,0,f
public.idx_cannabis_host_agreements_version,16 kB,0%,0,0,t
public.idx_mutation_idempotency_lookup,16 kB,100%,17,0,f
public.conversation_thread_reads_pkey,16 kB,100%,5507,0,f
public.idx_chefs_auth_user,16 kB,100%,400,0,f
public.idx_notifications_recipient_all,16 kB,100%,2588,0,f
public.idx_messages_client,16 kB,100%,301,0,f
public.idx_remy_artifacts_tenant_type,16 kB,100%,65,0,f
public.idx_gmail_sync_log_search,16 kB,0%,0,0,t
public.idx_inquiries_client,16 kB,100%,2,0,f
public.idx_events_converting_quote,16 kB,100%,7,0,f
public.idx_chef_connections_addressee_accepted,16 kB,100%,1199,0,f
public.idx_cal_entries_chef_date,16 kB,100%,995,0,f
public.idx_user_roles_entity,16 kB,100%,51841,0,f
public.uq_comm_events_external,16 kB,100%,14,0,f
public.idx_register_sessions_tenant_status,16 kB,100%,325,0,f
public.google_connections_pkey,16 kB,0%,0,0,t
public.idx_ledger_entries_ledger_sequence,16 kB,0%,0,0,t
public.idx_user_roles_auth_user,16 kB,100%,5596508,0,f
public.idx_staff_members_chef,16 kB,100%,15289,0,f
public.client_reviews_pkey,16 kB,0%,0,0,t
public.idx_chef_connections_status,16 kB,100%,11,0,f
public.idx_chef_connections_requester,16 kB,100%,1872,0,f
public.idx_hub_guest_profiles_email,16 kB,100%,29,0,f
public.idx_partner_locations_tenant,16 kB,100%,17,0,f
public.daily_plan_dismissals_pkey,16 kB,0%,0,0,t
public.remy_artifacts_pkey,16 kB,0%,0,0,t
public.idx_loyalty_rewards_active,16 kB,100%,6167,0,f
public.idx_expenses_tenant_id,16 kB,100%,8001,0,f
public.idx_menu_transitions_menu_id,16 kB,100%,17,0,f
public.idx_chef_activity_tenant_recent,16 kB,100%,13030,0,f
public.idx_staff_members_staff_type,16 kB,100%,232,0,f
public.unique_wix_submission,16 kB,0%,0,0,t
public.idx_expenses_category,16 kB,0%,0,0,t
public.idx_clients_referral_code,16 kB,100%,1,0,f
public.chef_connections_pkey,16 kB,100%,4,0,f
public.idx_haccp_plans_chef,16 kB,100%,20,0,f
public.chef_social_channels_slug_key,16 kB,100%,12,0,f
public.idx_ai_queue_tenant_status,16 kB,0%,0,0,t
public.idx_chefs_account_status,16 kB,0%,0,0,t
public.idx_wix_connections_active,16 kB,100%,1578,0,f
public.idx_hub_group_members_group,16 kB,100%,10,0,f
public.idx_messages_sent_at,16 kB,0%,0,0,t
public.idx_quotes_tenant_id,16 kB,100%,49656,0,f
public.idx_inquiries_client_status,16 kB,100%,2911,0,f
public.haccp_plans_chef_id_key,16 kB,0%,0,0,t
public.idx_chef_connections_addressee,16 kB,100%,1872,0,f
public.chefs_booking_slug_key,16 kB,0%,0,0,t
public.idx_historical_findings_chef_status,16 kB,100%,19,0,f
public.chefs_auth_user_id_key,16 kB,0%,0,0,t
public.simulation_results_run_idx,16 kB,0%,0,0,t
public.idx_rebook_tokens_client_id,16 kB,0%,0,0,t
public.idx_cron_executions_name_executed,16 kB,100%,3,0,f
public.idx_contact_submissions_unclaimed,16 kB,100%,14117,0,f
public.idx_loyalty_rewards_tenant,16 kB,100%,2009,0,f
public.idx_client_preferences_client_id,16 kB,100%,381,0,f
public.idx_hub_groups_stub,16 kB,100%,1,0,f
public.idx_event_transitions_tenant_id,16 kB,100%,973,0,f
public.idx_beta_signups_created_at,16 kB,100%,108,0,f
public.follow_up_timers_pkey,16 kB,0%,0,0,t
public.idx_inquiries_external_dedup,16 kB,100%,129,0,f
public.hub_messages_pkey,16 kB,0%,0,0,t
public.idx_inquiries_active_tenant_created_at,16 kB,100%,4200,0,f
public.menu_templates_tenant_id_slug_key,16 kB,0%,0,0,t
public.idx_menu_templates_system,16 kB,0%,0,0,t
public.idx_quote_transitions_tenant_id,16 kB,100%,524,0,f
public.idx_events_menu_id,16 kB,100%,18,0,f
public.idx_quotes_previous_version_id,16 kB,100%,1,0,f
public.idx_mutation_idempotency_unique,16 kB,100%,2,0,f
public.unique_connection,16 kB,100%,2,0,f
public.idx_remy_messages_conversation,16 kB,100%,28,0,f
public.idx_messages_status,16 kB,0%,0,0,t
public.hub_groups_pkey,16 kB,100%,12,0,f
public.idx_clients_active_tenant_created_at,16 kB,100%,5145,0,f
public.menu_templates_pkey,16 kB,0%,0,0,t
public.clients_auth_user_id_key,16 kB,0%,0,0,t
public.idx_suggested_links_event,16 kB,100%,284,0,f
public.beta_survey_definitions_pkey,16 kB,0%,0,0,t
public.hub_group_members_pkey,16 kB,0%,0,0,t
public.idx_cal_entries_chef_type,16 kB,100%,1075,0,f
public.event_themes_slug_key,16 kB,100%,18,0,f
public.event_floor_plans_pkey,16 kB,0%,0,0,t
public.conversation_threads_pkey,16 kB,100%,442,0,f
public.idx_menus_status,16 kB,0%,0,0,t
public.events_pkey,16 kB,100%,75794,0,f
public.idx_system_ingredients_name_trgm,16 kB,0%,0,0,t
public.idx_inquiry_transitions_date,16 kB,0%,0,0,t
public.idx_quote_transitions_quote_id,16 kB,100%,8,0,f
public.idx_cal_entries_public,16 kB,0%,0,0,t
public.idx_seasonal_palettes_dates,16 kB,100%,14196,0,f
public.idx_wix_submissions_tenant,16 kB,100%,2869,0,f
public.referral_partners_share_token_key,16 kB,0%,0,0,t
public.idx_owner_obs_hub_messages_group_created,16 kB,0%,0,0,t
public.idx_event_stubs_creator,16 kB,0%,0,0,t
public.idx_clients_tenant_status,16 kB,100%,64,0,f
public.chef_calendar_entries_pkey,16 kB,100%,1,0,f
public.idx_recipes_tenant_name,16 kB,100%,29051,0,f
public.unique_chef_wix,16 kB,100%,2,0,f
public.idx_chef_preferences_revenue_goal_enabled,16 kB,100%,23832,0,f
public.beta_signups_pkey,16 kB,0%,0,0,t
public.idx_commlog_content_search,16 kB,0%,0,0,t
public.idx_quotes_status,16 kB,100%,51,0,f
public.idx_event_floor_plans_chef_id,16 kB,100%,1,0,f
public.idx_client_reviews_client,16 kB,100%,176,0,f
public.idx_events_source_session_id,16 kB,100%,13,0,f
public.inquiries_decline_reason_idx,16 kB,100%,158,0,f
public.idx_notifications_recipient_unread,16 kB,0%,0,0,t
public.idx_messages_event,16 kB,100%,111,0,f
public.fine_tuning_examples_tenant_idx,16 kB,100%,15,0,f
public.idx_ai_queue_worker_poll,16 kB,0%,0,0,t
public.staff_members_pkey,16 kB,100%,453,0,f
public.idx_hub_guest_profiles_client,16 kB,100%,706,0,f
public.idx_referral_partners_auth_user,16 kB,100%,285,0,f
public.recipes_pkey,16 kB,100%,103,0,f
public.idx_events_client_id,16 kB,100%,144334,0,f
public.idx_clients_tenant,16 kB,0%,0,0,t
public.idx_remy_memories_client,16 kB,0%,0,0,t
public.idx_referral_partners_status,16 kB,100%,2709,0,f
public.idx_conversation_threads_starred,16 kB,100%,1538,0,f
public.rebook_tokens_pkey,16 kB,0%,0,0,t
public.idx_menu_transitions_tenant_id,16 kB,100%,17,0,f
public.cannabis_host_agreements_host_version_key,16 kB,100%,117,0,f
public.idx_ledger_entries_entry_type,16 kB,100%,67,0,f
public.idx_remy_messages_tenant,16 kB,100%,58,0,f
public.idx_hub_guest_profiles_token,16 kB,100%,200,0,f
public.idx_event_floor_plans_event_id,16 kB,0%,0,0,t
public.idx_rebook_tokens_event_id,16 kB,0%,0,0,t
public.clients_pkey,16 kB,100%,753201,0,f
public.idx_referral_partners_tenant,16 kB,0%,0,0,t
public.idx_client_reviews_tenant,16 kB,100%,1546,0,f
public.uq_threads_external_key,16 kB,100%,101,0,f
public.loyalty_config_pkey,16 kB,0%,0,0,t
public.idx_cannabis_host_agreements_host_user_id,16 kB,100%,47,0,f
public.idx_notifications_tenant,16 kB,100%,266,0,f
public.idx_event_themes_category,16 kB,0%,0,0,t
public.idx_events_tenant_date,16 kB,100%,156823,0,f
public.idx_inquiries_tenant_status,16 kB,100%,66790,0,f
public.hub_group_members_group_id_profile_id_key,16 kB,100%,4,0,f
public.idx_hub_messages_group_created,16 kB,100%,5,0,f
public.idx_recipes_tenant_id,16 kB,100%,2148,0,f
public.idx_historical_findings_received,16 kB,100%,79,0,f
public.idx_beta_signups_email,16 kB,100%,1,0,f
public.idx_system_ingredients_name,16 kB,0%,0,0,t
public.seasonal_palettes_pkey,16 kB,0%,0,0,t
public.idx_beta_signups_status,16 kB,0%,0,0,t
public.beta_signups_email_key,16 kB,100%,1,0,f
public.idx_remy_artifacts_tenant_created,16 kB,100%,24,0,f
public.idx_delivery_log_tenant_channel,16 kB,100%,2,0,f
public.idx_register_sessions_tenant_opened,16 kB,100%,157,0,f
public.register_sessions_pkey,16 kB,100%,11,0,f
public.idx_events_guest_code,16 kB,100%,29,0,f
public.chef_activity_log_pkey,16 kB,0%,0,0,t
public.idx_clients_auth_user,16 kB,100%,625,0,f
public.idx_quotes_inquiry_id,16 kB,100%,437,0,f
public.fine_tuning_examples_pkey,16 kB,0%,0,0,t
public.idx_event_stubs_status,16 kB,0%,0,0,t
public.communication_classification_rules_pkey,16 kB,0%,0,0,t
