name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.audit_log,9464 kB,504 kB,9968 kB,3021,6
public.chef_breadcrumbs,1080 kB,1296 kB,2376 kB,5249,10
public.gmail_sync_log,1080 kB,248 kB,1328 kB,500,166
public.activity_events,728 kB,568 kB,1296 kB,1631,10
public.simulation_results,800 kB,112 kB,912 kB,358,3
public.inquiries,296 kB,256 kB,552 kB,140,4182
public.events,224 kB,328 kB,552 kB,265,10814
public.clients,96 kB,296 kB,392 kB,135,9829
public.chef_activity_log,176 kB,104 kB,280 kB,130,611
public.communication_action_log,176 kB,88 kB,264 kB,17,89
public.chefs,72 kB,192 kB,264 kB,40,47946
public.communication_events,160 kB,96 kB,256 kB,18,514
public.quotes,96 kB,160 kB,256 kB,243,3941
public.fine_tuning_examples,184 kB,32 kB,216 kB,77,2
public.ledger_entries,72 kB,136 kB,208 kB,117,16009
public.chef_preferences,120 kB,80 kB,200 kB,39,1165
public.gmail_historical_findings,112 kB,80 kB,192 kB,60,68
public.dishes,112 kB,80 kB,192 kB,180,265
public.messages,48 kB,128 kB,176 kB,6,3275
public.expenses,64 kB,112 kB,176 kB,105,22510
public.notification_delivery_log,120 kB,48 kB,168 kB,111,29
public.simulation_runs,128 kB,32 kB,160 kB,141,2
public.recipes,64 kB,96 kB,160 kB,38,9790
public.menus,48 kB,104 kB,152 kB,81,1810
public.referral_partners,16 kB,136 kB,152 kB,11,1712
public.remy_memories,72 kB,80 kB,152 kB,22,9262
public.event_cannabis_settings,80 kB,72 kB,152 kB,265,3
public.hub_guest_profiles,64 kB,80 kB,144 kB,8,5
public.notifications,56 kB,80 kB,136 kB,41,5799
public.conversation_threads,48 kB,80 kB,128 kB,17,19266
public.hub_groups,16 kB,112 kB,128 kB,1,71
public.chef_connections,16 kB,112 kB,128 kB,1,9
public.haccp_plans,72 kB,48 kB,120 kB,2,3
public.remy_artifacts,56 kB,56 kB,112 kB,41,17
public.cron_executions,64 kB,48 kB,112 kB,114,3
public.wix_submissions,32 kB,72 kB,104 kB,1,68
public.ai_task_queue,16 kB,88 kB,104 kB,1,82
public.user_roles,40 kB,64 kB,104 kB,70,4086174
public.follow_up_timers,48 kB,48 kB,96 kB,8,196
public.rebook_tokens,16 kB,80 kB,96 kB,1,5
public.cannabis_host_agreements,16 kB,80 kB,96 kB,1,7
public.beta_signups,16 kB,80 kB,96 kB,1,357
public.chef_calendar_entries,16 kB,80 kB,96 kB,6,6
public.loyalty_rewards,48 kB,48 kB,96 kB,77,111
public.hub_messages,16 kB,80 kB,96 kB,1,6
