name,index,index_size,index_scans
public.audit_log,idx_audit_changed_at,128 kB,0
public.audit_log,idx_audit_record,64 kB,0
public.audit_log,idx_audit_table,48 kB,0
public.inquiries,idx_inquiries_follow_up_due,16 kB,0
public.gmail_sync_log,idx_gmail_sync_log_search,16 kB,0
public.simulation_results,simulation_results_run_idx,16 kB,0
public.clients,idx_clients_status,16 kB,0
public.clients,idx_clients_tenant,16 kB,0
public.clients,idx_clients_loyalty_tier,16 kB,0
public.events,idx_events_event_series_id,16 kB,0
public.gmail_historical_findings,idx_historical_findings_tenant,16 kB,0
public.inquiries,idx_inquiries_converted,16 kB,0
public.communication_events,idx_comm_events_status,16 kB,0
public.quotes,idx_quotes_lost_reason,8192 bytes,0
public.events,idx_events_household,8192 bytes,0
public.events,idx_events_invoice_number,8192 bytes,0
public.events,idx_events_financial_closed,8192 bytes,0
public.events,idx_events_is_demo,8192 bytes,0
public.events,idx_events_google_calendar_event_id,8192 bytes,0
public.events,idx_events_pre_event_checklist,8192 bytes,0
public.events,idx_events_retainer,8192 bytes,0
public.clients,idx_clients_referral_potential,8192 bytes,0
public.clients,idx_clients_recurring_pricing_model,8192 bytes,0
public.clients,idx_clients_account_deletion_scheduled_for,8192 bytes,0
public.inquiries,idx_inquiries_is_demo,8192 bytes,0
public.inquiries,idx_inquiries_utm_source,8192 bytes,0
public.quotes,quotes_negotiation_idx,8192 bytes,0
public.chef_breadcrumbs,idx_breadcrumbs_session,672 kB,20
public.quotes,idx_quotes_previous_version_id,16 kB,1
public.notification_delivery_log,idx_delivery_log_tenant_channel,16 kB,2
public.inquiries,idx_inquiries_client,16 kB,2
public.events,idx_events_status,16 kB,2
public.chef_breadcrumbs,idx_breadcrumbs_tenant_time,376 kB,48
public.communication_events,idx_comm_events_tenant_timestamp,16 kB,3
public.simulation_results,simulation_results_tenant_idx,56 kB,17
public.events,idx_events_active_tenant_created_at,40 kB,17
public.event_cannabis_settings,idx_event_cannabis_settings_tenant_event,40 kB,17
public.events,idx_events_converting_quote,16 kB,7
public.inquiries,idx_inquiries_status,16 kB,8
public.inquiries,idx_inquiries_partner_location,8192 bytes,4
public.audit_log,idx_audit_tenant,40 kB,21
public.clients,idx_clients_anniversary,8192 bytes,6
public.clients,idx_clients_birthday,8192 bytes,6
public.events,idx_events_source_session_id,16 kB,13
public.fine_tuning_examples,fine_tuning_examples_tenant_idx,16 kB,15
public.communication_action_log,idx_comm_action_log_tenant_time,32 kB,32
public.events,idx_events_menu_id,16 kB,18
public.gmail_historical_findings,idx_historical_findings_chef_status,16 kB,19
public.clients,idx_clients_portal_access_token,16 kB,22
public.communication_events,idx_comm_events_sender,16 kB,31
public.notification_delivery_log,idx_delivery_log_notification,16 kB,47
