name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public.activity_events,"",2026-03-05 05:45,"",2026-03-11 00:22,"         1,571",             2,           364,no,           207,no
public.audit_log,"",2026-03-10 10:09,"",2026-03-10 10:35,"         2,808",             1,           612,no,           331,no
public.chef_activity_log,"","","",2026-03-11 14:19,           110,            37,            72,no,            61,no
public.chef_breadcrumbs,"",2026-03-05 00:58,"",2026-03-11 15:52,"         5,240",            86,"         1,098",no,           574,no
public.chef_preferences,"","","",2026-03-10 18:24,            39,            35,            58,no,            54,no
public.chefs,"","","",2026-03-10 10:06,            40,            10,            58,no,            54,no
public.clients,"","","",2026-03-10 10:34,           135,            34,            77,no,            64,no
public.communication_action_log,"",2026-03-02 04:07,"",2026-03-02 04:07,             4,            12,            51,no,            50,no
public.communication_events,"",2026-03-02 04:07,"",2026-03-02 04:07,            12,            11,            52,no,            51,no
public.conversation_threads,"",2026-03-02 04:07,"",2026-03-02 04:07,            14,            10,            53,no,            51,no
public.cron_executions,"","","",2026-03-11 15:54,           107,             0,            71,no,            61,no
public.dishes,"","","",2026-03-10 10:34,           162,            25,            82,no,            66,no
public.event_cannabis_settings,"","","",2026-03-10 10:06,           210,             0,            92,no,            71,no
public.event_themes,"","","","",            18,             0,            54,no,            52,no
public.events,"",2026-03-10 22:46,"",2026-03-10 10:34,           265,             0,           103,no,            76,no
public.expenses,"","","",2026-03-10 10:28,            91,            22,            68,no,            59,no
public.fine_tuning_examples,"","","",2026-03-05 11:05,            53,             0,            61,no,            55,no
public.follow_up_timers,"",2026-03-02 04:07,"",2026-03-02 04:07,             2,             9,            50,no,            50,no
public.gmail_historical_findings,"","","",2026-03-11 16:55,            57,             7,            61,no,            56,no
public.gmail_sync_log,"",2026-03-11 15:52,"",2026-03-11 16:55,           494,             0,           149,no,            99,no
public.google_connections,"","","",2026-03-11 16:52,             2,             8,            50,no,            50,no
public.hub_groups,"","","","",             1,             0,            50,no,            50,no
public.hub_messages,"","","","",             1,             0,            50,no,            50,no
public.inquiries,"",2026-03-10 22:31,"",2026-03-11 15:52,           140,            38,            78,no,            64,no
public.ledger_entries,"",2026-02-28 22:47,"",2026-03-10 10:43,           109,             0,            72,no,            61,no
public.loyalty_rewards,"","","",2026-03-05 05:36,            56,             0,            61,no,            56,no
public.menus,"","","",2026-03-10 10:35,            76,            17,            65,no,            58,no
public.messages,"","","",2026-03-02 04:07,             6,            33,            51,no,            51,no
public.notification_delivery_log,"",2026-03-02 04:07,"",2026-03-11 15:10,           111,             0,            72,no,            61,no
public.notifications,"",2026-03-02 04:07,"",2026-03-02 04:07,             0,             0,            50,no,            50,no
public.quotes,"",2026-03-05 16:38,"",2026-03-10 10:16,           215,             4,            93,no,            72,no
public.recipes,"","","",2026-03-04 06:10,            33,            49,            57,no,            53,no
public.referral_partners,"","","",2026-03-10 03:35,            10,            25,            52,no,            51,no
public.register_sessions,"","","","",            16,            16,            53,no,            52,no
public.remy_memories,"",2026-03-10 10:31,"",2026-03-10 10:31,            22,            31,            54,no,            52,no
public.simulation_results,"","","",2026-03-08 05:27,           310,             0,           112,no,            81,no
public.simulation_runs,"","","",2026-03-10 01:37,           126,            11,            75,no,            63,no
public.staff_members,"","","",2026-03-10 10:06,            15,            19,            53,no,            52,no
public.user_roles,"",2026-02-21 06:08,"",2026-03-10 22:46,            70,            19,            64,no,            57,no
public.ab_tests,"","","","",            -1,             0,            50,no,            50,no
public.account_deletion_audit,"","","","",            -1,             0,            50,no,            50,no
public.activity_events_archive,"","","","",            -1,             0,            50,no,            50,no
public.admin_audit_log,"","","","",            -1,             0,            50,no,            50,no
public.admin_time_logs,"","","","",            -1,             0,            50,no,            50,no
public.after_action_reviews,"","","","",            -1,             0,            50,no,            50,no
public.ai_preferences,"","","","",            -1,             1,            50,no,            50,no
public.ai_task_queue,"","","","",            -1,             0,            50,no,            50,no
public.automated_sequences,"","","","",            -1,             0,            50,no,            50,no
public.automation_execution_log,"","","","",            -1,             0,            50,no,            50,no
public.automation_executions,"","","","",            -1,             0,            50,no,            50,no
public.automation_rules,"","","","",            -1,             0,            50,no,            50,no
public.availability_signal_notification_log,"","","","",            -1,             0,            50,no,            50,no
public.bake_schedule,"","","","",            -1,             0,            50,no,            50,no
public.bakery_batches,"","","","",            -1,             0,            50,no,            50,no
public.bakery_orders,"","","","",            -1,             0,            50,no,            50,no
public.bakery_ovens,"","","","",            -1,             0,            50,no,            50,no
public.bakery_par_stock,"","","","",            -1,             0,            50,no,            50,no
public.bakery_production_log,"","","","",            -1,             0,            50,no,            50,no
public.bakery_seasonal_items,"","","","",            -1,             0,            50,no,            50,no
public.bakery_tastings,"","","","",            -1,             0,            50,no,            50,no
public.bakery_yield_records,"","","","",            -1,             0,            50,no,            50,no
public.bank_connections,"","","","",            -1,             0,            50,no,            50,no
public.bank_transactions,"","","","",            -1,             0,            50,no,            50,no
public.benchmark_snapshots,"","","","",            -1,             0,            50,no,            50,no
public.beta_signups,"","","","",            -1,             0,            50,no,            50,no
public.beta_survey_definitions,"","","","",            -1,             0,            50,no,            50,no
public.beta_survey_invites,"","","","",            -1,             0,            50,no,            50,no
public.beta_survey_responses,"","","","",            -1,             0,            50,no,            50,no
public.beverages,"","","","",            -1,             0,            50,no,            50,no
public.booking_availability_rules,"","","","",            -1,             0,            50,no,            50,no
public.booking_daily_caps,"","","","",            -1,             0,            50,no,            50,no
public.booking_date_overrides,"","","","",            -1,             0,            50,no,            50,no
public.booking_event_types,"","","","",            -1,             0,            50,no,            50,no
public.business_locations,"","","","",            -1,             0,            50,no,            50,no
public.campaign_recipients,"","","","",            -1,             0,            50,no,            50,no
public.campaign_templates,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_control_packet_evidence,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_control_packet_reconciliations,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_control_packet_snapshots,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_event_details,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_host_agreements,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_tier_invitations,"","","","",            -1,             0,            50,no,            50,no
public.cannabis_tier_users,"","","","",            -1,             0,            50,no,            50,no
public.cash_drawer_movements,"","","","",            -1,             0,            50,no,            50,no
public.charity_hours,"","","","",            -1,             0,            50,no,            50,no
public.chat_messages,"","","","",            -1,             0,            50,no,            50,no
public.chef_api_keys,"","","","",            -1,             0,            50,no,            50,no
public.chef_automation_settings,"","","","",            -1,             0,            50,no,            50,no
public.chef_availability_blocks,"","","","",            -1,             0,            50,no,            50,no
public.chef_availability_share_tokens,"","","","",            -1,             0,            50,no,            50,no
public.chef_availability_signals,"","","","",            -1,             0,            50,no,            50,no
public.chef_backup_contacts,"","","","",            -1,             0,            50,no,            50,no
public.chef_brand_mentions,"","","","",            -1,             0,            50,no,            50,no
public.chef_budgets,"","","","",            -1,             0,            50,no,            50,no
public.chef_business_health_items,"","","","",            -1,             0,            50,no,            50,no
public.chef_calendar_entries,"","","","",            -1,             6,            50,no,            50,no
public.chef_capability_inventory,"","","","",            -1,             0,            50,no,            50,no
public.chef_certifications,"","","","",            -1,             0,            50,no,            50,no
public.chef_channel_memberships,"","","","",            -1,             0,            50,no,            50,no
public.chef_comment_reactions,"","","","",            -1,             0,            50,no,            50,no
public.chef_connections,"","","","",            -1,             1,            50,no,            50,no
public.chef_creative_projects,"","","","",            -1,             0,            50,no,            50,no
public.chef_crisis_plans,"","","","",            -1,             0,            50,no,            50,no
public.chef_culinary_profiles,"","","","",            -1,             0,            50,no,            50,no
public.chef_culinary_words,"","","","",            -1,             0,            50,no,            50,no
public.chef_daily_briefings,"","","","",            -1,             0,            50,no,            50,no
public.chef_documents,"","","","",            -1,             0,            50,no,            50,no
public.chef_education_log,"","","","",            -1,             0,            50,no,            50,no
public.chef_emergency_contacts,"","","","",            -1,             0,            50,no,            50,no
public.chef_event_type_labels,"","","","",            -1,             0,            50,no,            50,no
public.chef_feature_flags,"","","","",            -1,             0,            50,no,            50,no
public.chef_feedback,"","","","",            -1,             0,            50,no,            50,no
public.chef_folders,"","","","",            -1,             0,            50,no,            50,no
public.chef_follows,"","","","",            -1,             0,            50,no,            50,no
public.chef_goals,"","","","",            -1,             0,            50,no,            50,no
public.chef_growth_checkins,"","","","",            -1,             0,            50,no,            50,no
public.chef_handoff_events,"","","","",            -1,             0,            50,no,            50,no
public.chef_handoff_recipients,"","","","",            -1,             0,            50,no,            50,no
public.chef_handoffs,"","","","",            -1,             0,            50,no,            50,no
public.chef_incidents,"","","","",            -1,             0,            50,no,            50,no
public.chef_insurance_policies,"","","","",            -1,             0,            50,no,            50,no
public.chef_journal_media,"","","","",            -1,             0,            50,no,            50,no
public.chef_journal_recipe_links,"","","","",            -1,             0,            50,no,            50,no
public.chef_journey_entries,"","","","",            -1,             0,            50,no,            50,no
public.chef_journey_ideas,"","","","",            -1,             0,            50,no,            50,no
public.chef_journeys,"","","","",            -1,             0,            50,no,            50,no
public.chef_momentum_snapshots,"","","","",            -1,             0,            50,no,            50,no
public.chef_network_contact_shares,"","","","",            -1,             0,            50,no,            50,no
public.chef_network_feature_preferences,"","","","",            -1,             0,            50,no,            50,no
public.chef_network_posts,"","","","",            -1,             0,            50,no,            50,no
public.chef_portfolio_removal_requests,"","","","",            -1,             0,            50,no,            50,no
public.chef_post_comments,"","","","",            -1,             0,            50,no,            50,no
public.chef_post_hashtags,"","","","",            -1,             0,            50,no,            50,no
public.chef_post_mentions,"","","","",            -1,             0,            50,no,            50,no
public.chef_post_reactions,"","","","",            -1,             0,            50,no,            50,no
public.chef_post_saves,"","","","",            -1,             0,            50,no,            50,no
public.chef_profiles,"","","","",            -1,             0,            50,no,            50,no
public.chef_reminders,"","","","",            -1,             0,            50,no,            50,no
public.chef_scheduling_rules,"","","","",            -1,             0,            50,no,            50,no
public.chef_service_types,"","","","",            -1,             0,            50,no,            50,no
public.chef_social_channels,"","","","",            -1,             0,            50,no,            50,no
public.chef_social_hashtags,"","","","",            -1,             0,            50,no,            50,no
public.chef_social_notifications,"","","","",            -1,             0,            50,no,            50,no
public.chef_social_posts,"","","","",            -1,             0,            50,no,            50,no
public.chef_stories,"","","","",            -1,             0,            50,no,            50,no
public.chef_story_reactions,"","","","",            -1,             0,            50,no,            50,no
public.chef_story_views,"","","","",            -1,             0,            50,no,            50,no
public.chef_team_members,"","","","",            -1,             0,            50,no,            50,no
public.chef_todos,"","","","",            -1,             0,            50,no,            50,no
public.chef_trusted_circle,"","","","",            -1,             0,            50,no,            50,no
public.client_allergy_records,"","","","",            -1,             0,            50,no,            50,no
public.client_connections,"","","","",            -1,             0,            50,no,            50,no
public.client_incentives,"","","","",            -1,             0,            50,no,            50,no
public.client_invitations,"","","","",            -1,             0,            50,no,            50,no
public.client_meal_prep_preferences,"","","","",            -1,             0,            50,no,            50,no
public.client_meal_requests,"","","","",            -1,             0,            50,no,            50,no
public.client_notes,"","","","",            -1,             0,            50,no,            50,no
public.client_outreach_log,"","","","",            -1,             0,            50,no,            50,no
public.client_photos,"","","","",            -1,             0,            50,no,            50,no
public.client_preference_patterns,"","","","",            -1,             0,            50,no,            50,no
public.client_preferences,"","","","",            -1,             5,            50,no,            50,no
public.client_quick_requests,"","","","",            -1,             0,            50,no,            50,no
public.client_referrals,"","","","",            -1,             0,            50,no,            50,no
public.client_reviews,"","","","",            -1,            10,            50,no,            50,no
public.client_satisfaction_surveys,"","","","",            -1,             0,            50,no,            50,no
public.client_segments,"","","","",            -1,             0,            50,no,            50,no
public.client_tags,"","","","",            -1,             0,            50,no,            50,no
public.clipboard_entries,"","","","",            -1,             0,            50,no,            50,no
public.commerce_dining_checks,"","","","",            -1,             0,            50,no,            50,no
public.commerce_dining_tables,"","","","",            -1,             0,            50,no,            50,no
public.commerce_dining_zones,"","","","",            -1,             0,            50,no,            50,no
public.commerce_payment_schedules,"","","","",            -1,             0,            50,no,            50,no
public.commerce_payments,"","","","",            -1,             0,            50,no,            50,no
public.commerce_promotions,"","","","",            -1,             0,            50,no,            50,no
public.commerce_refunds,"","","","",            -1,             0,            50,no,            50,no
public.communication_classification_rules,"","","","",            -1,             0,            50,no,            50,no
public.communication_log,"","","","",            -1,             0,            50,no,            50,no
public.community_templates,"","","","",            -1,             0,            50,no,            50,no
public.competitor_benchmarks,"","","","",            -1,             0,            50,no,            50,no
public.compliance_cleaning_logs,"","","","",            -1,             0,            50,no,            50,no
public.compliance_temp_logs,"","","","",            -1,             0,            50,no,            50,no
public.components,"","","","",            -1,             0,            50,no,            50,no
