"name","raw_label","business_type","subcategory","city","state","address","postcode","lat","lon","website_url","instagram_url","email","phone","cuisine_types","description","source","source_url","confidence","staging_status","notes"
"Lenny Judice","Take A Chef Miami roster","private_chef","private_chef","Fort Lauderdale","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 225 services; sourced from Miami city page"
"Max Ehrsam","Take A Chef Miami roster","private_chef","private_chef","Wilton Manors","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 204 services; sourced from Miami city page"
"Elena Landa","Take A Chef Miami roster","private_chef","private_chef","Miami","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.8 rating, 169 services; sourced from Miami city page"
"Michael Smerda","Take A Chef Miami roster","private_chef","private_chef","Fort Lauderdale","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.8 rating, 82 services; sourced from Miami city page"
"Samuel Badolato","Take A Chef Miami roster","private_chef","private_chef","West Palm Beach","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 75 services; sourced from Miami city page"
"Esther Jules","Take A Chef Miami roster","private_chef","private_chef","North Miami Beach","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 51 services; sourced from Miami city page"
"Farid Oualidi","Take A Chef Miami roster","private_chef","private_chef","Fort Lauderdale","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.8 rating, 42 services; sourced from Miami city page"
"Ron Turner","Take A Chef Miami roster","private_chef","private_chef","Miami","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 30 services; sourced from Miami city page"
"Davide Diconzo","Take A Chef Miami roster","private_chef","private_chef","Miami","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 30 services; sourced from Miami city page"
"Collin O'connor","Take A Chef Miami roster","private_chef","private_chef","Hollywood","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.9 rating, 14 services; sourced from Miami city page"
"Sylvie Delenclos S.delenclos","Take A Chef Miami roster","private_chef","private_chef","Hallandale Beach","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.8 rating, 229 services; sourced from Miami city page"
"Ignacio Garc?a Duque","Take A Chef Miami roster","private_chef","private_chef","Miami","FL","","","","","","","","","","Marketplace-listed private chef serving the Miami market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/miami","medium","normalized","4.8 rating, 145 services; sourced from Miami city page"
"Zivko Radojcic","Take A Chef NYC roster","private_chef","private_chef","New York City","NY","","","","","","","","","","Marketplace-listed private chef serving the NYC market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/new-york-city","medium","normalized","4.8 rating, 162 services; sourced from NYC city page"
"Curtis Beisser","Take A Chef NYC roster","private_chef","private_chef","Montclair","NJ","","","","","","","","","","Marketplace-listed private chef serving the NYC market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/new-york-city","medium","normalized","4.9 rating, 138 services; sourced from NYC city page"
"Cintia Diaz","Take A Chef NYC roster","private_chef","private_chef","New York","NY","","","","","","","","","","Marketplace-listed private chef serving the NYC market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/new-york-city","medium","normalized","4.8 rating, 117 services; sourced from NYC city page"
"Paul Heiler","Take A Chef NYC roster","private_chef","private_chef","New York","NY","","","","","","","","","","Marketplace-listed private chef serving the NYC market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/new-york-city","medium","normalized","4.8 rating, 78 services; sourced from NYC city page"
"Mary Luu","Take A Chef NYC roster","private_chef","private_chef","Atlantic Highlands","NJ","","","","","","","","","","Marketplace-listed private chef serving the NYC market","takeachef_city_page","https://www.takeachef.com/en-us/private-chef/new-york-city","medium","normalized","4.8 rating, 72 services; sourced from NYC city page"
